Product name,SKUID,String ID
Dynamics 365 Customer Insights Attach (DYN365_CUSTOMER_INSIGHTS_ATTACH),a3d0cd86-8068-4071-ad40-4dc5b5908c4b,DYN365_CUSTOMER_INSIGHTS_ATTACH
Dynamics 365 Customer Insights Journeys T3 Interacted People,05735051-46c0-4c84-9107-bb13d77d0b88,Dynamics_365_Customer_Insights_Journeys_T3_Interacted_People
Dynamics 365 Customer Insights Standalone,0c250654-c7f7-461f-871a-7222f6592cf2,DYN365_CUSTOMER_INSIGHTS_BASE
Dynamics 365 Customer Insights User License,12b5a442-a6f2-49e4-868b-2d7408c2356f,Dynamics_365_Customer_Insights_User_License
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government,6ec542c9-2a86-4d4a-8a52-d233eb58ef0a,DYN365_CS_OC_MESSAGING_VOICE_GOV
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government for Test,ea9ba490-50b8-474e-8671-9fec0f1268f3,DYN365_CS_OC_MESSAGING_VOICE_GOV_TEST
Dynamics 365 Customer Service Digital Messaging Partner Sandbox,aeb8c883-d700-4aa1-8719-402b5adf2949,Dynamics_365_Customer_Service_Digital_Messaging_Partner_Sandbox
Dynamics 365 Customer Service Professional,1439b6e2-5d59-4873-8c59-d60e2a196e92,DYN365_CUSTOMER_SERVICE_PRO
Dynamics 365 Customer Service Voice Channel Add-in,dadd2312-b5b1-4fa0-8c15-0903de3e2303,DYN365_CS_VOICE
Dynamics 365 Customer Voice,359ea3e6-8130-4a57-9f8f-ad897a0342f1,DYN365_CUSTOMER_VOICE_BASE
Dynamics 365 Customer Voice Additional Responses (Forms_Pro_AddOn),446a86f8-a0cb-4095-83b3-d100eb050e3d,Forms_Pro_AddOn
Dynamics 365 Customer Voice Additional Responses (DYN365_CUSTOMER_VOICE_ADDON),65f71586-ade3-4ce1-afc0-1b452eaf3782,DYN365_CUSTOMER_VOICE_ADDON
Dynamics 365 Customer Voice USL,e2ae107b-a571-426f-9367-6d4c8f1390ba,Forms_Pro_USL
Dynamics 365 Enterprise Edition - Additional Database Storage for Government,4aed5dd6-eb9c-4143-8f14-368d70287121,CRMSTORAGE_GCC
Dynamics 365 Enterprise Edition - Additional Non-Production Instance for Government,1d2756cb-2147-4b05-b4d5-f013c022dcb9,CRMTESTINSTANCE_GCC
Dynamics 365 Enterprise Edition - Additional Portal (Qualified Offer),a4bfb28e-becc-41b0-a454-ac680dc258d3,CRM_ONLINE_PORTAL
Dynamics 365 Enterprise Edition - Additional Portal for Government (CRM_ONLINE_PORTAL_GCC),cb9bc974-a47b-4123-998d-a383390168cc,CRM_ONLINE_PORTAL_GCC
Dynamics 365 Enterprise Edition - Additional Portal for Government (CRM_ONLINE_PORTAL_NOPREREQ),67f58b51-af53-4344-9663-9a2beb1d8a8e,CRM_ONLINE_PORTAL_NOPREREQ
Dynamics 365 Enterprise Edition - Additional Production Instance for Government,2bd3cb20-1bb6-446b-b4d0-089af3a05c52,CRMINSTANCE_GCC
Dynamics 365 Field Service Contractor,23e6e135-e869-4ce4-9ae4-5710cd69ac13,D365_FIELD_SERVICE_CONTRACTOR
Dynamics 365 Field Service Contractor for Government,e7965e3a-1f49-4d67-a3de-ad1ce460bbcc,D365_FIELD_SERVICE_CONTRACTOR_GOV
